,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.36612669626871747,0.007185026757457157,0.033227761586507164,0.0007987226496250763,balanced,gini,5,auto,,50,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'n_estimators': 50}",0.5694263363754889,0.5802770986145069,0.5859145745027714,0.5785384406411301,0.006842645491865747,2215
1,0.7267955938975016,0.00413955107944282,0.0608370304107666,0.0032198266130515347,balanced,gini,5,auto,,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'n_estimators': 100}",0.5725228161668839,0.5794621026894865,0.5818389305510271,0.5779407769627819,0.003952494588078504,2526
2,1.0817347367604573,0.013198405304762423,0.0891403357187907,0.001660570145876396,balanced,gini,5,auto,,150,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'n_estimators': 150}",0.5704041720990873,0.5773431132844336,0.5823280078252364,0.5766911165444173,0.004889668596365179,3236
3,1.4200785160064697,0.009898897309625974,0.1216746171315511,0.004088957854993426,balanced,gini,5,auto,,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': None, 'n_estimators': 200}",0.5666558018252934,0.5788101059494702,0.5829801108575154,0.5761477859277371,0.006925158265264087,3536
4,0.22556440035502115,0.0037867510583902524,0.025701602300008137,0.0016588085377081212,balanced,gini,5,auto,2,50,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 2, 'n_estimators': 50}",0.5651890482398957,0.5737571312143439,0.577600260841213,0.5721814724259712,0.005187907349381913,5408
5,0.4294385115305583,0.00637469418366493,0.03773792584737142,0.002005897507235208,balanced,gini,5,auto,2,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 2, 'n_estimators': 100}",0.5653520208604954,0.573920130399348,0.5727094880991197,0.5706601466992665,0.003786264735936839,6060
6,0.608047087987264,0.005578307656737361,0.059211413065592446,0.0009197004509078722,balanced,gini,5,auto,2,150,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 2, 'n_estimators': 150}",0.5651890482398957,0.5835370823145885,0.575317900228236,0.5746807932627004,0.007504389906222693,4302
7,0.814958651860555,0.006016209703945909,0.07189822196960449,0.0012174990353002542,balanced,gini,5,auto,2,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 2, 'n_estimators': 200}",0.5632333767926988,0.5788101059494702,0.57971959569612,0.573920130399348,0.00756671427098801,4684
8,0.34810638427734375,0.0004604121834215083,0.04684853553771973,0.00768428310643189,balanced,gini,5,auto,20,50,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 20, 'n_estimators': 50}",0.5664928292046936,0.5727791361043195,0.5842843169220737,0.5745177940776963,0.007366657105192062,4378
9,0.7105266253153483,0.003473222158816662,0.05498099327087402,0.0012167350310870375,balanced,gini,5,auto,20,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 20, 'n_estimators': 100}",0.5635593220338984,0.5762021189894051,0.5793935441799805,0.5730508014126596,0.006837579880320832,5059
10,1.0579818884531658,0.003651944505338493,0.08426197369893391,0.002434254520306938,balanced,gini,5,auto,20,150,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 20, 'n_estimators': 150}",0.5658409387222947,0.5794621026894865,0.5839582654059341,0.5764194512360772,0.007702929107831422,3397
11,1.3709521293640137,0.003930744422283412,0.10996214548746745,0.0023007683952523993,balanced,gini,5,auto,20,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 20, 'n_estimators': 200}",0.5691003911342895,0.5766911165444173,0.577600260841213,0.5744634610160283,0.0038108426577908414,4400
12,0.359493891398112,0.0020059362167707995,0.033834377924601235,0.0012166493368880988,balanced,gini,5,auto,50,50,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 50, 'n_estimators': 50}",0.5647001303780965,0.5788101059494702,0.5802086729703293,0.5745721271393643,0.007004716031951171,4353
13,0.7258164087931315,0.005122673716528732,0.05823516845703125,0.0004609179764239853,balanced,gini,5,auto,50,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 50, 'n_estimators': 100}",0.5664928292046936,0.5768541157294214,0.5842843169220737,0.5758761206193969,0.007296191359120131,3692
14,1.097347338994344,0.015147584093723018,0.1106124718983968,0.002798268287691491,balanced,gini,5,auto,50,150,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'max_leaf_nodes': 50, 'n_estimators': 150}",0.5684485006518905,0.578321108394458,0.5808607760026084,0.5758761206193969,0.005354102336049366,3692
