,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_fit_intercept,param_l1_ratio,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1455,1.7930830319722493,1.4061026825141938,0.0048796335856119795,0.0007973603304440463,0.25,balanced,True,,none,newton-cg,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': None, 'penalty': 'none', 'solver': 'newton-cg'}",0.5790417209908736,0.582722086389568,0.589175089664167,0.5836457484379245,0.004188170099207837,599
1456,0.3605438868204753,0.019298667162148415,0.005530039469401042,0.00045799840156366545,0.25,balanced,True,,none,lbfgs,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': None, 'penalty': 'none', 'solver': 'lbfgs'}",0.5783898305084746,0.5796251018744907,0.5901532442125856,0.582722086389568,0.005278128417621624,679
1457,0.016960700352986652,0.004647609289648644,0.0,0.0,0.25,balanced,True,,none,liblinear,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': None, 'penalty': 'none', 'solver': 'liblinear'}",,,,,,1089
1458,3.139097054799398,0.043231040412814295,0.005529562632242839,0.0009185203237045722,0.25,balanced,True,,none,sag,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': None, 'penalty': 'none', 'solver': 'sag'}",0.5735006518904824,0.5853300733496333,0.5886860123899577,0.5825047541428959,0.006513351073401441,759
1459,3.2158873875935874,0.08438224455384959,0.004554430643717448,0.00045968162775881756,0.25,balanced,True,,none,saga,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': None, 'penalty': 'none', 'solver': 'saga'}",0.5715449804432855,0.5846780766096169,0.5893381154222367,0.5818527574028797,0.007533734463813484,839
1460,0.9169286886850992,0.005175568953056946,0.0071726640065511065,0.0008340936773022403,0.25,balanced,True,0.25,l2,newton-cg,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l2', 'solver': 'newton-cg'}",0.5801825293350718,0.582559087204564,0.5901532442125856,0.5842977451779408,0.004252135682464021,507
1461,0.4030942916870117,0.03265889387589181,0.006176869074503581,0.0004618427103798199,0.25,balanced,True,0.25,l2,lbfgs,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5801825293350718,0.5806030969845151,0.5904792957287252,0.5837544145612605,0.0047577270966481025,579
1462,0.5901041825612386,0.025685349893861554,0.005204995473225911,0.0004600194615736266,0.25,balanced,True,0.25,l2,liblinear,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.5801825293350718,0.582722086389568,0.5899902184545158,0.5842977451779408,0.004156097230979319,507
1463,1.3192501068115234,0.06556384647396,0.007807493209838867,0.006223704445502008,0.25,balanced,True,0.25,l2,sag,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l2', 'solver': 'sag'}",0.5738265971316818,0.5853300733496333,0.589175089664167,0.582776419451236,0.006520987418318232,669
1464,1.9932329654693604,0.04951927560925465,0.008783658345540365,0.002390327817986991,0.25,balanced,True,0.25,l2,saga,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l2', 'solver': 'saga'}",0.5717079530638852,0.5845150774246128,0.5890120639060972,0.5817440912795436,0.007331067870514256,873
1465,0.01073614756266276,1.1406501209264853e-06,0.0,0.0,0.25,balanced,True,0.25,l1,newton-cg,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,1137
1466,0.010735511779785156,0.001380056627316428,0.0,0.0,0.25,balanced,True,0.25,l1,lbfgs,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,1140
1467,0.24563097953796387,0.05659893354726626,0.004555145899454753,0.0016597436088170265,0.25,balanced,True,0.25,l1,liblinear,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l1', 'solver': 'liblinear'}",0.5788787483702738,0.5866340668296659,0.5904792957287252,0.5853300733496333,0.004824829745323496,475
1468,0.01171096165974935,0.0015931625449515374,0.0,0.0,0.25,balanced,True,0.25,l1,sag,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l1', 'solver': 'sag'}",,,,,,1142
1469,3.2291895548502603,0.02816298453562652,0.008133808771769205,0.0004606369666085458,0.25,balanced,True,0.25,l1,saga,"{'C': 0.25, 'class_weight': 'balanced', 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'l1', 'solver': 'saga'}",0.5723598435462842,0.5828850855745721,0.5881969351157483,0.5811464276011953,0.0065813151846845245,928
